OBJECTID,Name,POINT_X,POINT_Y
90,Washington,-122.94396209700,48.57953262370
91,Washington,-122.94367218000,48.57917785650
92,Washington,-122.94330596900,48.57889175430
93,Washington,-122.94287872300,48.57867050210
94,Washington,-122.94235229500,48.57857131950
95,Washington,-122.94184875500,48.57834243760
96,Washington,-122.94136047400,48.57807540910
97,Washington,-122.94089508100,48.57774353040
98,Washington,-122.94046783400,48.57728958140
99,Washington,-122.94000244200,48.57694625900
100,Washington,-122.93972015300,48.57666778570
101,Washington,-122.93805694500,48.57666778570
102,Washington,-122.93777465800,48.57638931240
103,Washington,-122.93777465800,48.57555389440
104,Washington,-122.93769836400,48.57469177280
105,Washington,-122.93744659400,48.57441329950
106,Washington,-122.93711090100,48.57396698040
107,Washington,-122.93661499000,48.57363128690
108,Washington,-122.93644714400,48.57352066040
109,Washington,-122.93578338600,48.57341003380
110,Washington,-122.93494415300,48.57365417460
111,Washington,-122.93445587200,48.57373809840
112,Washington,-122.93395996100,48.57386016880
113,Washington,-122.93344116200,48.57388687150
114,Washington,-122.93305206300,48.57389068640
115,Washington,-122.93277740500,48.57389068640
116,Washington,-122.93250274700,48.57383346520
117,Washington,-122.93213653600,48.57394409170
118,Washington,-122.93158721900,48.57427597040
119,Washington,-122.93083190900,48.57472229040
120,Washington,-122.93008422900,48.57499694790
121,Washington,-122.92976379400,48.57563781730
122,Washington,-122.92944335900,48.57611084000
123,Washington,-122.92944335900,48.57638931240
124,Washington,-122.93058013900,48.57747650100
125,Washington,-122.93082428000,48.57777023310
126,Washington,-122.93119049100,48.57803344760
127,Washington,-122.93159484900,48.57827758830
128,Washington,-122.93167114300,48.57855224580
129,Washington,-122.93169403100,48.57881164530
130,Washington,-122.93180847200,48.57903289830
131,Washington,-122.93196106000,48.57925796540
132,Washington,-122.93215179400,48.57947921750
133,Washington,-122.93222045900,48.57972335820
134,Washington,-122.93277740500,48.58027648900
135,Washington,-122.93277740500,48.58055496220
136,Washington,-122.93250274700,48.58055496220
137,Washington,-122.93194580100,48.58111190790
138,Washington,-122.93111419700,48.58111190790
139,Washington,-122.93083190900,48.58139038120
140,Washington,-122.93055725100,48.58139038120
141,Washington,-122.93000030500,48.58194351190
142,Washington,-122.93027496300,48.58222198520
143,Washington,-122.93027496300,48.58250045750
144,Washington,-122.93055725100,48.58277893080
145,Washington,-122.93055725100,48.58472061120
146,Washington,-122.93029022200,48.58497619670
147,Washington,-122.92988586400,48.58520126370
148,Washington,-122.92939758300,48.58531570430
149,Washington,-122.92890930100,48.58551025370
150,Washington,-122.92837524400,48.58555603010
151,Washington,-122.92781066900,48.58555603010
152,Washington,-122.92723083500,48.58552932740
153,Washington,-122.92664337100,48.58539199820
154,Washington,-122.92601013200,48.58518219000
155,Washington,-122.92541503900,48.58504104590
156,Washington,-122.92473602300,48.58504104590
157,Washington,-122.92404174800,48.58527755770
158,Washington,-122.92388916000,48.58534622190
159,Washington,-122.92336273200,48.58559036260
160,Washington,-122.92281341500,48.58602142300
161,Washington,-122.92239379900,48.58651733430
162,Washington,-122.92205810500,48.58666610740
163,Washington,-122.92147064200,48.58728027330
